SGB	Sexuality	Gram_negative
SGB1667	MSM	No
SGB15090	MSM	Yes
SGB1662	MSM	No
SGB1676	MSM	No
SGB5066	MSM	Yes
SGB1653	MSM	No
SGB1666	MSM	No
SGB13999	MSM	Yes
SGB15107	MSM	Yes
SGB9333	MSM	No
SGB1675	MSM	No
SGB1668	MSM	No
SGB1883_group	MSM	No
SGB5904	MSM	No
SGB1928	MSM	No
SGB1437	MSM	No
SGB6817	MSM	Yes
SGB9274	MSM	No
SGB1657	MSM	No
SGB2230	MSM	No
SGB2240	MSM	No
SGB4367	MSM	Yes
SGB5967	MSM	No
SGB6973	MSM	No
SGB15260	MSM	Yes
SGB5858	MSM	No
SGB1699	MSM	No
SGB2238	MSM	No
SGB1626	MSM	No
SGB15225	MSM	Yes
SGB5239	MSM	Yes
SGB15244	MSM	Yes
SGB15106	MSM	Yes
SGB3677	MSM	No
SGB4886	MSM	Yes
SGB1680	MSM	No
SGB15322	MSM	Yes
SGB1474	MSM	No
SGB1475	MSM	No
SGB1472	MSM	No
SGB9243	MSM	No
SGB1672_group	MSM	No
SGB1701	MSM	No
SGB2241	MSM	No
SGB15093	MSM	Yes
SGB1663	MSM	No
SGB1614	MSM	No
SGB9209	MSM	No
SGB4893	MSM	Yes
SGB1636_group	MSM	No
SGB1644	MSM	No
SGB4910	MSM	Yes
SGB1673	MSM	No
SGB4909	MSM	Yes
SGB15370	MSM	Yes
SGB2239	MSM	No
SGB1677	MSM	No
SGB1617_group	MSM	No
SGB1861	Non-MSM	No
SGB4820	Non-MSM	Yes
SGB2286	Non-MSM	No
SGB1790	Non-MSM	No
SGB1965	Non-MSM	No
SGB9340	Non-MSM	No
SGB17256	Non-MSM	Yes
SGB1798	Non-MSM	No
SGB15342	Non-MSM	Yes
SGB1613	Non-MSM	No
SGB5190	Non-MSM	Yes
SGB9262	Non-MSM	No
SGB15120	Non-MSM	Yes
SGB1877	Non-MSM	No
SGB9347	Non-MSM	No
SGB1815	Non-MSM	No
SGB17248	Non-MSM	Yes
SGB4584	Non-MSM	Yes
SGB15132	Non-MSM	Yes
SGB1862	Non-MSM	No
SGB4557	Non-MSM	Yes
SGB1836_group	Non-MSM	No
SGB2290	Non-MSM	No
SGB8601	Non-MSM	No
SGB4269	Non-MSM	Yes
SGB17237	Non-MSM	Yes
SGB4608	Non-MSM	Yes
SGB14993_group	Non-MSM	Yes
SGB2071	Non-MSM	No
SGB1934	Non-MSM	No
SGB4422	Non-MSM	Yes
SGB5792	Non-MSM	No
SGB4714	Non-MSM	Yes
SGB1814	Non-MSM	No
SGB2303	Non-MSM	No
SGB2318	Non-MSM	No
SGB2301	Non-MSM	No
SGB4705	Non-MSM	Yes
SGB4874	Non-MSM	Yes
